Actuals,Predicteds
1.0,1.13522075062
1.0,1.2303147081
1.0,1.4082159697
2.0,1.40088737385
1.0,1.24987704707
2.0,1.32939931632
1.0,1.40121911353
1.0,1.27997313909
1.0,1.34042708509
1.0,1.27635518207
1.0,1.42085310204
1.0,1.31608896579
1.0,1.33271500145
1.0,1.20455128799
1.0,1.22938832866
2.0,1.42208178903
1.0,1.39043047935
1.0,1.20811740023
1.0,1.1020738499
1.0,1.20697188672
1.0,1.15435388763
1.0,1.23363653109
1.0,1.25110152097
1.0,1.23709719711
1.0,1.27096887007
3.0,1.42841016861
1.0,1.22971609067
2.0,1.41762689007
2.0,1.21293449261
3.0,1.2479388505
1.0,1.21538188104
3.0,1.40172911826
1.0,1.41016953303
1.0,1.13876695798
1.0,1.37694904539
1.0,1.18413226118
1.0,1.41839543224
1.0,1.41386779763
1.0,1.38267476857
1.0,1.17804530823
1.0,1.1426340755
1.0,1.2373278301
2.0,1.32244975796
1.0,1.44122379658
1.0,1.43948185001
1.0,1.30690034951
2.0,1.40843561737
1.0,1.38351346818
1.0,1.27810468089
1.0,1.38877143775
1.0,1.10290165708
1.0,1.30726533955
1.0,1.23292473521
1.0,1.26704373919
1.0,1.21906848422
1.0,1.32410991325
1.0,1.16704070989
1.0,1.42564488732
13.0,1.29657709017
13.0,1.29657709017
1.0,1.25023484214
2.0,1.41228430546
1.0,1.24139901107
1.0,1.166813236
1.0,1.26753481633
1.0,1.40090608937
1.0,1.35613903959
1.0,1.37963191633
1.0,1.19947287301
1.0,1.32242762307
2.0,1.24630605844
2.0,1.34190849794
1.0,1.18979416489
1.0,1.21061400298
1.0,1.27384928576
1.0,1.1870419092
1.0,1.40486223774
2.0,1.41903891674
1.0,1.14653888361
1.0,1.20622750696
1.0,1.37554862898
1.0,1.36651314902
2.0,1.20497769525
1.0,1.2310814104
1.0,1.29208872344
1.0,1.28059217254
1.0,1.16720831679
2.0,1.30278020448
1.0,1.41084717843
1.0,1.19978329085
1.0,1.46335177563
1.0,1.23649297973
1.0,1.40093544088
1.0,1.39499048313
1.0,1.26808797349
1.0,1.15894689072
1.0,1.37343882503
2.0,1.2177580864
1.0,1.27202819561
1.0,1.09138126007
1.0,1.17498201371
1.0,1.36103705486
1.0,1.39765701858
1.0,1.3546005231
2.0,1.3036905402
2.0,1.31205388696
1.0,1.15227490949
2.0,1.26427921997
1.0,1.39379117445
1.0,1.39385953689
1.0,1.41619833294
1.0,1.40305224356
1.0,1.2727750883
1.0,1.1715429854
1.0,1.21445909977
2.0,1.27540450041
2.0,1.39551707199
1.0,1.21537088585
2.0,1.27383984591
1.0,1.4171417148
1.0,1.2429908457
1.0,1.36655247265
1.0,1.39144581265
1.0,1.33438782507
1.0,1.13045953183
1.0,1.089493047
1.0,1.75940648675
1.0,1.45772093038
3.0,1.35884492535
1.0,1.32321519384
3.0,1.37807207662
2.0,1.3201729991
1.0,1.42557843428
1.0,1.29449684844
2.0,1.19706992853
1.0,1.44626808707
1.0,1.41866818525
1.0,1.1770385576
1.0,1.43060105397
1.0,1.45299574074
1.0,1.32615322697
1.0,1.31659010576
1.0,1.21340365572
1.0,1.29741977913
1.0,1.18645206382
1.0,1.23071686991
1.0,1.24333293356
1.0,1.21590823487
1.0,1.2756829032
1.0,1.47936457573
1.0,1.17446288553
2.0,1.44794714029
1.0,1.11353520977
3.0,1.38165021356
1.0,1.27485129879
1.0,1.35921474661
1.0,1.26168317797
1.0,1.3882989
2.0,1.29093945249
2.0,1.36144869095
1.0,1.18414405391
1.0,1.22907203617
1.0,1.25808349299
1.0,1.10388099069
4.0,1.41196901228
1.0,1.23228770341
1.0,1.24231841311
1.0,1.29305968594
1.0,1.27344330335
1.0,1.39919342201
12.0,1.17205617686
1.0,1.1766844218
1.0,1.42941220303
1.0,1.18897385882
1.0,1.35199948826
2.0,1.40094999479
1.0,1.2216385564
1.0,1.15882519185
1.0,1.37851384944
1.0,1.21800670731
1.0,1.40276358553
1.0,1.39127777776
1.0,1.17345022853
1.0,1.24668105262
1.0,1.45954248806
1.0,1.05514725978
1.0,1.25100345507
2.0,1.34686956847
1.0,1.35331139462
1.0,1.20429225903
1.0,1.23655007288
1.0,1.23022565321
2.0,1.33277958979
1.0,1.25960882195
1.0,1.39827205928
1.0,1.37051474091
1.0,1.2054511998
1.0,1.24149128526
1.0,1.41322897968
1.0,1.24529340328
3.0,1.39090208829
1.0,1.19080941655
1.0,1.44118019775
1.0,1.31864237545
1.0,1.16072630773
2.0,1.4226060521
1.0,1.33213998931
1.0,1.26490778034
1.0,1.10486367022
1.0,1.17238897594
2.0,1.44516291955
1.0,1.31269681836
1.0,1.38429433114
1.0,1.11786951254
1.0,1.28584056956
1.0,1.22292845611
1.0,1.2417187405
2.0,1.18799605101
4.0,1.38323700913
1.0,1.29473676034
1.0,1.39169973242
1.0,1.12890565915
1.0,1.33140099434
1.0,1.38604022672
1.0,1.39405606844
3.0,1.36549032698
1.0,1.24788427186
1.0,1.22130577494
1.0,1.09271374167
1.0,1.30248629313
1.0,1.34399491295
1.0,1.29946827316
1.0,1.44446119225
1.0,1.31184189209
1.0,1.2886746413
1.0,1.42762621673
1.0,1.214340945
3.0,1.24340117283
1.0,1.33573750816
1.0,1.08775572811
1.0,1.20066749062
1.0,1.38294028866
1.0,1.28873672429
1.0,1.39434538865
1.0,1.21769581611
1.0,1.39240648804
1.0,1.44139249008
1.0,1.37566627665
1.0,1.37775506784
1.0,1.27219390402
1.0,1.34118543755
1.0,1.27904788164
1.0,1.38317673843
3.0,1.22258834293
1.0,1.19512101423
1.0,1.28594700772
1.0,1.36989537475
1.0,1.2860283255
1.0,1.29391993265
1.0,1.34340908758
1.0,1.12465381866
2.0,1.18980034315
1.0,1.39885651272
1.0,1.21854346209
1.0,1.37702593916
1.0,1.13804544767
1.0,1.44909922509
1.0,1.24482826725
3.0,1.44373142895
1.0,1.25296226069
1.0,1.34328433743
1.0,1.24829468409
2.0,1.24774551752
1.0,1.21376581877
1.0,1.337124948
1.0,1.25532898651
1.0,1.23245253449
2.0,1.32491492189
1.0,1.35968150682
1.0,1.14078072529
1.0,1.36340509834
1.0,1.41921610936
1.0,1.38509426
1.0,1.35246100293
2.0,1.38955002227
1.0,1.23803069497
1.0,1.15846239349
1.0,1.33008967763
1.0,1.30724587715
1.0,1.30187920475
2.0,1.388891738
1.0,1.38323339546
1.0,1.22030042833
5.0,1.41368847947
1.0,1.34237653662
1.0,1.16949834131
1.0,1.35023694221
1.0,1.43826472761
1.0,1.19264140759
2.0,1.43947402774
1.0,1.35889156892
1.0,0.925127821558
2.0,1.0859529368
1.0,1.37806529958
1.0,1.28728572348
1.0,1.17233200961
1.0,1.23838877179
1.0,1.08944150888
1.0,1.36740171509
1.0,1.31300323719
3.0,1.22170432285
1.0,1.37768855903
3.0,1.39625793352
1.0,1.20387883364
1.0,1.19812369417
2.0,1.18570985528
1.0,1.42921880406
2.0,1.19685992946
2.0,1.39337023919
1.0,1.29760516224
1.0,1.09559367661
1.0,1.25450301256
1.0,1.36251911105
1.0,1.20621840312
2.0,1.3465848529
1.0,1.25577428574
1.0,1.2012258544
1.0,1.14829820612
1.0,1.21058594805
1.0,1.34915546046
1.0,1.17978820952
30.0,1.31265795903
1.0,1.23633848465
1.0,1.22273692234
1.0,1.15718898115
1.0,1.3794889159
1.0,1.1561074295
1.0,1.435064391
1.0,1.24272507484
1.0,1.3422337941
1.0,1.90429894437
1.0,1.3206441452
2.0,1.21038687827
1.0,1.07632629063
1.0,1.3867459408
1.0,1.28732042679
1.0,1.1175903255
1.0,1.17947890883
1.0,1.37941335101
1.0,1.095056936
1.0,1.3112386109
1.0,1.22351957351
1.0,1.22369286188
1.0,1.21270294255
1.0,1.3290608701
1.0,1.16811205207
1.0,1.39188630429
2.0,1.38538838914
2.0,1.28866402311
1.0,1.3936369594
1.0,1.19286017225
1.0,1.40936759819
1.0,1.38128569918
1.0,1.13222812569
1.0,1.28919953624
1.0,1.24312035083
1.0,1.35644935926
1.0,1.21238286703
1.0,1.37359671547
1.0,1.12744622571
1.0,1.3274074931
1.0,1.20272796209
1.0,1.14947150604
1.0,1.37804411733
1.0,1.22098654725
1.0,1.24228662176
1.0,1.44268261424
1.0,1.2436859791
1.0,1.3646879249
1.0,1.43128602188
1.0,1.04004287362
1.0,1.07416109507
1.0,1.2705747319
1.0,1.3975157403
1.0,1.37873801614
1.0,1.35939701602
1.0,1.25659618142
1.0,1.41913239507
1.0,1.38200501782
1.0,1.19897770671
1.0,1.29433684927
1.0,1.31448659585
1.0,1.37924037685
1.0,1.14406050805
1.0,1.106216787
1.0,1.21856151458
1.0,1.3187590201
2.0,1.33160606655
1.0,1.28995383928
1.0,1.42368758567
1.0,1.21422765375
1.0,1.19927725266
1.0,1.31617986931
1.0,1.27659655259
1.0,1.41692122571
1.0,1.26715066996
1.0,1.39561654393
1.0,1.29218627572
1.0,1.12267722355
2.0,1.39590850999
1.0,1.23391991629
1.0,1.23243287201
2.0,1.37101367371
1.0,1.23137736852
1.0,1.30292270196
1.0,1.19385319802
1.0,1.18371261915
1.0,1.40413918104
1.0,1.26705000725
1.0,1.28699156116
1.0,1.19275183071
1.0,1.41102433454
2.0,1.39248980718
1.0,1.42514267877
1.0,1.2944593773
1.0,1.27326478275
1.0,1.24228067453
1.0,1.39944057815
1.0,1.20179609174
1.0,1.41989595014
1.0,1.19327070407
1.0,1.31722099127
2.0,1.40088737385
1.0,1.22422454544
3.0,1.4450993376
1.0,1.30735830581
1.0,1.25300544282
1.0,1.32548441166
1.0,1.25828061002
1.0,1.25947472073
1.0,1.31308710406
1.0,1.13841313704
1.0,1.19056720042
2.0,1.26005743058
1.0,1.41693017024
1.0,1.39407970231
2.0,1.35740637574
1.0,1.31108692943
1.0,1.19067440292
1.0,1.31990546001
3.0,1.417533551
3.0,1.417533551
4.0,1.251127442
1.0,1.21059607111
1.0,1.18778175598
1.0,1.37150752788
1.0,1.26712656751
1.0,1.17905085111
1.0,1.30103506963
1.0,1.44766123596
1.0,1.29596200541
1.0,1.22343928609
1.0,1.22637012894
1.0,1.24721862909
1.0,1.26023120449
1.0,1.25015950333
1.0,1.43755157547
1.0,1.36359287873
1.0,1.1749043275
1.0,1.3807720897
1.0,1.32448056992
2.0,1.23591330349
1.0,1.44270978635
1.0,1.24316874265
1.0,1.24450700399
1.0,1.30189305769
1.0,1.30200332029
1.0,1.41706639461
1.0,1.35900701513
1.0,1.20676838515
1.0,1.23519383155
2.0,1.30457504728
1.0,1.24911905721
1.0,1.40649850088
1.0,1.09987292373
5.0,1.28564665188
2.0,1.46841527032
1.0,1.24037086933
1.0,1.20557988625
1.0,1.29856467204
1.0,1.21027806468
2.0,1.25012013543
1.0,1.45154830331
11.0,1.37688450761
1.0,1.23683316672
1.0,1.25003471269
1.0,1.28245507432
1.0,1.21667027212
1.0,1.30157396648
1.0,1.27703983508
1.0,1.40863197938
1.0,1.22547836701
1.0,1.27554335573
1.0,1.23951942788
1.0,1.18782121494
1.0,1.30528125319
1.0,1.16677246111
1.0,1.22670345265
2.0,1.41352978733
2.0,1.3747101492
1.0,1.23635068894
1.0,1.19401674036
1.0,1.06626681294
1.0,1.28454097652
1.0,1.27528795284
1.0,1.37884903857
1.0,1.41353202546
1.0,1.2662223283
1.0,1.19126711922
2.0,1.27230426326
1.0,1.2772970601
1.0,1.20002932634
1.0,1.31177408365
2.0,1.3342888691
1.0,1.38331503748
1.0,1.26620477637
1.0,1.22927688681
1.0,1.23887277628
1.0,1.20558176245
1.0,1.24284919287
1.0,1.39184623826
1.0,1.18836823873
1.0,1.2646310202
1.0,1.26551511552
1.0,1.28214967586
1.0,1.23606753001
1.0,1.4051473548
1.0,1.41279860084
1.0,1.42667099823
1.0,1.25444040837
2.0,1.33320746293
1.0,1.19967990718
2.0,1.41675183986
2.0,1.40540721661
1.0,1.26460897115
1.0,1.18472214232
2.0,1.38250630142
2.0,1.38250630142
5.0,1.457541184
2.0,1.32043512285
1.0,1.46715159644
1.0,1.30648148478
1.0,1.36322172912
1.0,1.3267832202
2.0,1.38950696434
1.0,1.2379691998
1.0,1.25506064131
2.0,1.36982953635
2.0,1.257713782
1.0,1.26711114864
1.0,1.19861816657
2.0,1.40685845134
1.0,1.33052831128
1.0,1.14694852776
1.0,1.25472240474
1.0,1.22096201358
1.0,1.2193971317
1.0,1.24787057754
1.0,1.36052147067
1.0,1.28776012204
1.0,1.25254802448
1.0,1.1497845516
1.0,1.41695970478
2.0,1.27111464847
1.0,1.43622115257
1.0,1.41864024626
1.0,1.2288289381
1.0,1.25651754603
4.0,1.38415502605
2.0,1.39380392625
1.0,1.12936104606
1.0,1.406996352
1.0,1.19745922409
1.0,1.29118316248
1.0,1.19507295534
1.0,1.23882075624
1.0,1.19734466663
2.0,1.42917895835
1.0,1.29437892575
1.0,1.21901294484
2.0,1.09489568816
1.0,1.16535706717
1.0,1.3650954162
1.0,1.34230693083
1.0,1.23600954218
1.0,1.29973744399
3.0,1.39361528496
1.0,1.38799589389
1.0,1.4109851855
1.0,1.40333359765
1.0,1.38123602886
1.0,1.30119457858
1.0,1.4413743075
3.0,1.40411133532
1.0,1.45912778387
1.0,1.11485531447
1.0,1.07605404681
1.0,1.23840890883
1.0,1.30045721649
1.0,1.1878966096
1.0,1.33103491807
1.0,1.29696996781
1.0,1.26224171792
3.0,1.43593987295
1.0,1.20911914836
1.0,1.21202671113
1.0,1.45005202791
1.0,1.36965490724
1.0,1.36413134732
1.0,1.18249811995
1.0,1.22645989426
1.0,1.31289500057
2.0,1.39699278082
1.0,1.36963347665
1.0,1.25694295989
3.0,1.31851091309
1.0,1.42183006804
1.0,1.43342053489
1.0,1.19172510634
1.0,1.12747490013
2.0,1.37616822487
1.0,1.19443261343
1.0,1.20072777448
2.0,1.27670340775
1.0,1.3917342564
2.0,1.27765053931
1.0,1.25037585737
1.0,1.18508712594
1.0,1.29652183068
1.0,1.3658669281
1.0,1.33371323261
1.0,1.18911180676
1.0,1.37654242601
1.0,1.24260815136
1.0,1.19678474123
1.0,1.29218767342
2.0,1.1671955895
1.0,1.2813455255
2.0,1.30608691876
1.0,1.28108827549
1.0,1.24647461569
1.0,1.29069758634
1.0,1.41724550961
1.0,1.34098123655
1.0,1.25031202202
1.0,1.18557020539
1.0,1.23462314257
1.0,1.31370023968
1.0,1.21654223124
1.0,1.29527743084
1.0,1.34197267604
1.0,1.40250176999
3.0,1.40567742399
1.0,1.30473046315
1.0,1.12688179571
1.0,1.25585455033
1.0,1.30050387352
2.0,1.43296140291
2.0,1.2883580781
1.0,1.35538621875
1.0,1.45117461912
1.0,1.35627940513
1.0,1.25499954306
1.0,1.25281827378
1.0,1.32735229262
3.0,1.40416327689
1.0,1.33650665051
1.0,1.25862132901
2.0,1.32725165428
1.0,1.29998112218
1.0,1.27257606794
1.0,1.44236618316
